21.04.1995	Verden	JuZ	Muff Potter, Rusty James, Systral					
25.05.1995	Wuppertal	DADA	Headbutt, Dishwater					
26.05.1995	Rheine	JuZ	Die Strafe					
10.11.1995	Hildesheim	Löseke Fabrik	Embryostore					
27.01.1996	Lingen (Ems)	Schlachthof	Tocotronic					
30.03.1996	Aachen	AZ	Fliehende Stürme					
10.05.1996	Grefrath-Oedt	Hallu Luja	Die Strafe					
10.08.1996	Fürstenau	Jugendcafe						
14.09.1996	Friedrichshafen	Jugendzentrum Molke	Kick Joneses					
12.10.1996	Homburg	AJZ	Die Strafe					
21.12.1996	Bremen	Schlachthof	Dackelblut, Boxhamsters					
27.12.1996	Hamm	Kulturwerkstatt						
17.05.1997	Mönchengladbach	EXXIL	Die Strafe, Einleben, Serene Fall					
27.09.1997	Oberhausen	Druckluft						Plastic Bomb Party als Eisenpimmel
03.04.1998	Minden	FKK						
04.04.1998	Wolfsburg	Zakk Cafe						
25.04.1998	Düsseldorf	BZ Reisholz	Happy Grindcore, Einleben					
11.07.1998	Mönchengladbach	Rock Babylon	Die Strafe					
19.09.1998	Mechernich-Kommern		Die Strafe, Try‘n‘Error					
30.10.1998	Köln	Spichernstraße 77	Free Yourself					
17.04.1999	Wuppertal	AZ						
30.07.1999	Husum	Speicher	Klotzs					
15.10.1999	Darmstadt	Oetinger Villa	Völkermord					
16.10.1999	Mannheim	JuZ	Völkermord					
29.10.1999	Bochum	Blackout						
01.01.2000	Ludwigsfelde						yyyy	
10.07.2000	Köln							
12.08.2000	Hamburg	Rote Flora	Chispa, Enfold					Benefizkonzert für das Störtebeker
27.04.2001	Basel/CH	Hirscheneck	Boxhamsters					
28.04.2001	Mannheim	JUZ	Boxhamsters					
23.05.2001	Wermelskirchen	AJZ Bahndamm	Einleben					
15.11.2001	Gießen	AK44	Heimatglück					
08.12.2001	Frankfurt	Excess	Boxhamsters					
07.09.2002	Hohenems//AT	Transmitter Festival						
08.09.2002	Zürich/CH	Squat						
13.09.2002	Mönchengladbach	City Center Club	Die Strafe					
15.11.2002	Gießen	AK44	Heimatglück					
16.11.2002	Jena	Kassablanca	Verbrannte Erde					
16.12.2002	Düsseldorf	Unique-Club	Klotzs					
11.04.2003	Flensburg	Volxbad	Klotzs					
12.04.2003	Kaltenkirchen	JUZ	Klotzs					
13.04.2003	Hamburg	Störtebecker	Klotzs					
03.10.2003	Hannover	Béi Chéz Heinz	Klotzs					
04.10.2003	Verden	JUZ Dampfmühle	Howtwobeatray					
05.12.2003	Kassel	K19	Boxhamsters					
06.12.2003	Wermelskirchen	AJZ Bahndamm	Boxhamsters					
13.08.2004	Stemwede	Open Air						
23.10.2004	Mannheim	JuZ	Dreschfeschd IV					
22.01.2005	Düsseldorf	Stone/Ratinger Hof	Boxhamsters					
18.02.2005	Köln	Underground	The Italian Stallion					
19.02.2005	Köln	Underground	The Italian Stallion					
22.04.2005	Braunschweig	Nexus	Verbrannte Erde					
23.04.2005	Bielefeld	AJZ	Klotzs					
26.05.2005	Mönchengladbach	Aquarium	Die Strafe					
16.09.2005	Wiesbaden	Schlachthof						
17.09.2005	Freiburg	E-Werk	Mad Minority, Analena					
24.09.2005	Oberhausen	Druckluft	Schließmuskel, The Vageenas, Razors 					
09.12.2005	Göttingen	JuZI	Nitrous Oxide Wrestling Club					
10.12.2005	Berlin	SO36	Die Strafe					
20.04.2006	Köln	Kulturbunker Mülheim	The Ex					
17.08.2007	Mönchengladbach	Projekt 42						
22.09.2007	Oberhausen	Druckluft						
27.10.2007	Wermelskirchen	HC Tage						
14.12.2007	Köln	Gebäude 9						
15.12.2007	Köln	Gebäude 9						
18.04.2008	Aurich	JUZ Schlachthof	Borssum Allstars					
19.04.2008	Bremen	Spedition	Tarkatak					
26.04.2008	Düsseldorf	AK47	Sniffing Glue					20 Jahre AK47
03.05.2008	Mönchengladbach	BIS	The Italian Stallion, Citizens Patrol, NeinNeinNein, Undressed Army					Zentrum für offene Kulturarbeit
13.06.2008	Berlin	SO36						
14.06.2008	Leipzig	UT Connewitz						
14.11.2008	Darmstadt	Oetinger Villa	Sniffing Glue					
15.11.2008	Karlsruhe	Alte Fleischmarkthalle	Action Beat, Anavan					
13.12.2008	Düsseldorf	ZAKK						
20.03.2009	Bonn	Bla						
21.03.2009	Hamm	Kulturwerkstatt	Alpinist, Tischlerei Lischitzki, S.A.M.					
04.04.2009	Solingen	Cobra	Boxhamsters, Spermbirds, Kick Joneses					
18.04.2009	Wermelskirchen	AJZ	Tragedy, Burial					
11.09.2009	Aachen	AZ		true				
12.09.2009	Duisburg			true				
30.10.2009	Hamburg	Störtebeker						
31.10.2009	Hamburg	Hafenklang						
26.03.2010	Aachen	AZ						
17.07.2010	Mönchengladbach	Horstfestival						
10.09.2010	Frankfurt	Excess	The Now-Denial					
11.09.2010	Mannheim	JuZ	Vengeance	true				
13.11.2010	Flensburg	Volksbad						
14.11.2010	Rendsburg	T-Stube	Yacøpsæ,Happy Grindcore					
11.12.2010	Düsseldorf	AK47						
12.12.2010	Düsseldorf	AK47						
29.01.2011	Duisburg	Djäzz/Konter-Box	Eisenpimmel					
21.10.2011	Siegen	Vortex	Klotzs					
22.10.2011	Trier	Ex-Haus	Klotzs					
26.11.2011	Düsseldorf	ZAKK						
14.01.2012	Köln	Limes						
11.02.2012	Solingen	Cobra	Wire, Pascow, Jingo de Lunch, Sniffing Glue, Papst Pech					Ox #100 Festival
23.03.2012	Bochum	Bahnhof Langendreer	Boxhamsters					
05.10.2012	Duisburg	Djäzz	Fliehende Stürme					
06.10.2012	Wiesbaden	Schlachthof	Klotzs					
27.10.2012	Bremen	Schlachthof	Sniffing Glue	true				
28.10.2012	Osnabrück	Bastard Club		true				
15.12.2012	Mannheim	JuZ						
12.01.2013	Bremen	Schlachthof	Disco//Oslo			10		
13.01.2013	Osnabrück	Bastard Club	Sniffing Glue					
27.04.2013	Düsseldorf	AK47						25 Jahre AK47
31.05.2013	Augsburg	Ballonfabrik	Klotzs					
01.06.2013	Passau	Zeughaus	Klotzs					
30.06.2013	Göttingen	Theaterkeller						
02.10.2013	Emden	Alte Post	Borssum Allstars					
03.10.2013	Münster	Gleis 22						
13.12.2013	Köln	Gebäude 9						
14.12.2013	Köln	Gebäude 9						
07.03.2014	Siegen	VEB						
08.03.2014	Jena	Kassablanca	Henry Fonda					
16.05.2014	Verden	JuZ	Sniffing Glue					
17.05.2014	Hamburg	Markthalle	Sleaford Mods					
14.08.2014	Berlin	SO36						
15.08.2014	Berlin	Ramones Museum		true				
22.11.2014	Mönchengladbach	Altes Kolpinghaus						
28.03.2015	Hannover	Béi Chéz Heinz	Disco//Oslo	true				
03.07.2015	Düsseldorf	Zakk						
22.08.2015	Wermelskirchen	AJZ Bahndamm						25 Jahre AJZ Bahndamm
28.08.2015	Hannover	Bei Chez Heinz	Landverraad		11.50			
29.08.2015	Hannover	Béi Chéz Heinz						
20.12.2015	Aachen	AZ						
12.03.2016	Leverkusen	KAW	Licht-ung, ZNOUZECTNOST					
23.04.2016	Gera	Jugendhaus Shalom	Nervöus		10.00			
24.04.2016	Frankfurt	AU						
22.05.2016	Düsseldorf	AK47						
01.07.2016	Nürnberg	Komm	Klotzs	true				
02.07.2016	München	Cafe Kult	Klotzs					
03.07.2016	Gießen	AK44	Klotzs					
15.10.2016	Oberhausen	Turbinenhalle						Maschinenfest
18.11.2016	Nürnberg	K4	Klotzs					
19.11.2016	Esslingen	Komma	Klotzs					
17.12.2016	Wuppertal	Die Börse	Pisse					
25.03.2017	Düsseldorf	Haus der Jugend	Finisterre					
28.04.2017	Wilhelmshaven	Kling Klang						
19.05.2017	Berlin	Tiefgrund	Levitations					
20.05.2017	Berlin	Tiefgrund	Femme Krawall					
16.06.2017	Hamburg	Schanzenzelt	Oiro, Boy Division					
17.06.2017	Hamburg	MS Stubnitz	Oiro, Boy Division					
22.09.2017	Solingen	Waldmeister	Kontrolle					
02.10.2017	Krefeld	Kulturfabrik	Die Strafe					
01.06.2018	Saarbrücken	Sektor Heimat	Toylettes	true				
02.06.2018	Esslingen	Komma	Toylettes	true				
20.10.2018	Bielefeld	AJZ	Deutsche Laichen					
22.12.2018	Aachen	AZ						
26.01.2019	Mönchengladbach							Never Again! Vol. 15 - 5 Jahre Konzertreihe gegen Rassismus
22.02.2019	Regensburg	Alte Mälzerei	Klotzs					
23.02.2019	Wien/AT	Ernst-Kirchweger-Haus	Klotzs, The Boiler					
05.04.2019	Trier	Mergener Hof	Toylettes					
06.04.2019	Mainz	KuZ	Toylettes					20 Jahre Ventil Verlag
17.05.2019	Esslingen	Komma	The Boiler		10.00	12.00		
18.05.2019	München	Kafé Kult	Mondo Ray, Apian					
28.06.2019	Berlin	SO36	Wiegedood					
29.06.2019	Leipzig	Conne Island	Wiegedood					
03.08.2019	Köln	Sonic Ballroom	Molly Punch, Klauen, Lavatch, Shout-Outs					20 Jahre Sonic Ballroom Open Air
06.09.2019	Hamburg	Knust						
07.09.2019	Flensburg	Volxbad						
16.09.2019	Hamburg	Knust						
15.11.2019	Frankfurt	ExZess	Klotzs, Cuntroaches					
16.11.2019	Karlsruhe	P8	Klotzs, Cuntroaches					
06.12.2019	Recklinghausen	AKZ						
10.01.2020	Siegen	VEB	Lügen	true				
11.01.2020	Köln	Sonic Ballroom	Rainbow Dash	true				
22.02.2020	Würzburg	Kafe Cairo	Klotzs, The ARXX					
20.03.2020	Siegen	VEB	Lügen	true				
04.04.2020	Zürich/CH	Rote Fabrik	DE_BRIS, LOESCHEN	true				
01.05.2020	Köln	Sonic Ballroom		true				
18.02.2023	Jena	Casablanca	Alien Fight Club	true	15		
